f1,f2,f3,f4,f5,label
443,506,552,547,581,Jeem
444,506,552,547,588,Jeem
445,506,552,547,591,Jeem
413,506,552,547,593,Jeem
428,506,552,547,594,Jeem
444,506,552,547,596,Jeem
446,506,552,547,596,Jeem
443,506,552,547,598,Jeem
436,506,552,547,598,Jeem
444,506,552,546,600,Jeem
445,506,552,546,600,Jeem
447,506,552,547,601,Jeem
444,506,552,547,601,Jeem
445,506,552,547,602,Jeem
444,506,552,547,602,Jeem
443,506,552,547,603,Jeem
26,546,582,552,549,Chay
26,546,582,552,549,Chay
27,546,582,552,549,Chay
47,546,582,552,549,Chay
45,546,582,552,549,Chay
45,546,582,552,549,Chay
21,546,582,552,549,Chay
22,546,582,552,549,Chay
21,546,582,552,549,Chay
24,546,582,552,549,Chay
25,546,582,552,549,Chay
22,546,582,552,549,Chay
25,546,582,552,549,Chay
26,546,582,552,549,Chay
27,546,582,552,549,Chay
27,546,582,552,549,Chay
28,546,582,552,549,Chay
48,546,582,552,549,Chay
45,546,582,552,550,Chay
16,546,582,552,549,Chay
22,546,582,552,549,Chay
21,546,582,552,549,Chay
22,546,582,552,549,Chay
21,546,582,552,550,Chay
40,546,582,552,550,Chay
20,546,582,552,550,Chay
24,546,582,552,550,Chay
26,546,582,552,550,Chay
43,546,582,552,550,Chay
18,546,582,552,549,Chay
26,546,582,552,550,Chay
48,546,582,552,550,Chay
16,546,582,552,550,Chay
16,546,582,552,550,Chay
15,546,582,552,550,Chay
41,546,582,552,550,Chay
38,546,582,552,550,Chay
42,546,582,552,550,Chay
24,546,582,552,550,Chay
38,546,582,552,550,Chay
45,546,582,552,550,Chay
48,546,582,552,550,Chay
28,546,582,552,550,Chay
26,546,582,552,550,Chay
42,546,582,552,550,Chay
15,546,582,552,550,Chay
16,547,582,552,550,Chay
15,546,582,552,550,Chay
15,546,582,552,550,Chay
23,547,582,552,550,Chay
37,546,582,552,550,Chay
32,546,582,552,550,Chay
33,547,582,552,550,Chay
39,546,582,552,550,Chay
15,547,582,552,550,Chay
25,547,582,552,550,Chay
46,547,582,553,550,Chay
25,546,582,553,550,Chay
46,547,582,552,550,Chay
14,546,582,552,550,Chay
47,546,582,552,550,Chay
34,546,582,553,550,Chay
181,511,545,557,624,Zoay
161,512,545,557,624,Zoay
170,512,545,557,624,Zoay
173,512,545,557,602,Zoay
178,512,545,557,622,Zoay
174,512,545,557,622,Zoay
169,512,545,557,563,Zoay
188,512,545,557,623,Zoay
185,488,545,557,570,Zoay
158,509,545,557,620,Zoay
392,472,545,557,621,Zoay
147,513,545,557,621,Zoay
166,514,545,557,621,Zoay
16,514,545,557,620,Zoay
28,514,545,557,610,Zoay
29,514,545,557,613,Zoay
49,514,545,557,618,Zoay
37,514,545,557,613,Zoay
18,514,545,557,618,Zoay
22,514,545,557,617,Zoay
41,515,545,557,619,Zoay
47,514,545,557,619,Zoay
41,515,545,557,619,Zoay
24,515,545,557,620,Zoay
41,515,546,558,620,Zoay
16,515,546,558,620,Zoay
32,515,546,558,620,Zoay
54,515,546,558,620,Zoay
53,515,546,558,620,Zoay
48,515,546,558,620,Zoay
150,515,546,558,620,Zoay
155,515,546,558,620,Zoay
149,515,546,558,620,Zoay
164,515,546,558,620,Zoay
174,515,546,558,620,Zoay
172,515,546,558,620,Zoay
189,515,546,558,620,Zoay
168,515,546,558,620,Zoay
176,515,546,558,620,Zoay
172,515,546,558,620,Zoay
183,515,546,558,620,Zoay
173,515,546,558,620,Zoay
190,515,546,558,620,Zoay
175,515,546,558,620,Zoay
175,515,546,558,620,Zoay
178,515,546,558,619,Zoay
180,515,546,558,619,Zoay
173,515,546,558,619,Zoay
163,515,546,558,619,Zoay
175,516,546,558,622,Zoay
183,516,546,558,622,Zoay
183,516,546,558,623,Zoay
175,516,546,558,623,Zoay
164,515,546,558,623,Zoay
168,515,546,558,623,Zoay
147,515,547,558,623,Zoay
156,516,547,558,623,Zoay
167,516,547,558,623,Zoay
164,516,547,558,623,Zoay
176,516,547,558,623,Zoay
168,516,547,558,623,Zoay
165,516,547,558,623,Zoay
161,516,547,558,623,Zoay
179,516,547,558,623,Zoay
172,516,547,558,623,Zoay
166,516,547,558,623,Zoay
159,516,547,558,623,Zoay
163,516,547,558,623,Zoay
23,417,574,568,623,Fay
22,423,574,567,623,Fay
27,437,574,568,623,Fay
27,437,574,568,623,Fay
25,390,574,567,623,Fay
31,389,574,568,623,Fay
32,388,574,568,623,Fay
30,390,574,568,623,Fay
22,391,574,568,623,Fay
398,386,574,568,623,Fay
393,382,574,568,623,Fay
393,389,574,568,623,Fay
35,389,575,568,623,Fay
391,393,575,568,623,Fay
26,390,575,568,623,Fay
22,388,575,568,623,Fay
24,387,575,568,623,Fay
21,389,575,568,623,Fay
26,383,575,568,623,Fay
22,442,575,568,623,Fay
26,450,575,568,623,Fay
28,448,575,568,623,Fay
25,448,575,568,623,Fay
27,448,575,568,623,Fay
30,448,575,568,623,Fay
54,448,575,568,623,Fay
52,448,575,568,623,Fay
16,448,575,568,623,Fay
20,448,575,568,623,Fay
23,448,575,568,623,Fay
20,448,575,568,623,Fay
19,448,575,568,623,Fay
24,448,575,568,623,Fay
20,448,575,568,623,Fay
27,448,575,568,623,Fay
25,448,575,568,623,Fay
23,448,575,568,623,Fay
25,448,575,568,623,Fay
25,448,575,568,623,Fay
49,448,575,568,623,Fay
52,8,575,568,623,Fay
47,448,575,568,623,Fay
26,448,575,568,623,Fay
36,448,575,568,623,Fay
28,448,575,568,623,Fay
26,448,575,568,623,Fay
30,448,575,568,623,Fay
32,448,575,568,623,Fay
30,448,575,568,623,Fay
29,448,575,568,623,Fay
30,448,575,568,623,Fay
55,448,575,568,623,Fay
16,448,575,568,623,Fay
15,448,575,568,623,Fay
50,448,575,568,623,Fay
20,448,575,568,623,Fay
20,448,575,568,623,Fay
20,448,575,568,623,Fay
21,448,575,568,623,Fay
19,448,575,568,623,Fay
19,448,575,568,623,Fay
28,448,575,568,623,Fay
23,448,575,568,623,Fay
23,448,575,568,623,Fay
30,448,575,568,623,Fay
15,448,575,568,623,Fay
45,448,575,568,623,Fay
384,532,507,513,578,Laam
386,532,507,513,578,Laam
380,533,507,513,578,Laam
385,533,507,513,578,Laam
384,533,507,513,578,Laam
380,533,507,513,578,Laam
383,0,507,513,578,Laam
385,0,507,513,578,Laam
385,0,507,513,578,Laam
382,0,507,513,579,Laam
382,0,507,513,579,Laam
382,533,508,513,578,Laam
380,518,508,513,578,Laam
386,0,507,513,579,Laam
384,0,507,513,578,Laam
383,0,507,513,579,Laam
384,1,507,513,578,Laam
385,9,507,513,579,Laam
384,22,508,513,579,Laam
386,4,508,513,578,Laam
382,4,508,513,578,Laam
382,533,508,513,579,Laam
386,532,508,513,579,Laam
381,530,508,513,579,Laam
386,0,508,513,579,Laam
384,2,508,513,579,Laam
383,533,508,513,579,Laam
386,533,508,513,579,Laam
386,529,508,513,579,Laam
385,530,508,513,579,Laam
387,525,508,513,579,Laam
387,525,508,513,579,Laam
380,520,508,513,579,Laam
384,529,508,513,579,Laam
380,529,508,513,579,Laam
380,508,508,513,579,Laam
387,494,508,513,579,Laam
380,477,508,513,579,Laam
386,488,508,513,579,Laam
386,533,508,513,579,Laam
384,466,508,513,579,Laam
383,532,508,513,579,Laam
381,532,508,513,579,Laam
381,530,508,513,579,Laam
381,482,508,513,579,Laam
382,517,508,513,579,Laam
383,505,508,513,579,Laam
383,492,508,513,579,Laam
381,485,508,513,579,Laam
385,510,508,513,579,Laam
385,513,508,513,579,Laam
385,491,508,513,579,Laam
385,489,508,513,579,Laam
386,530,508,513,579,Laam
386,482,508,513,579,Laam
385,490,508,513,579,Laam
385,480,508,513,579,Laam
380,515,508,513,579,Laam
385,514,508,514,579,Laam
386,479,508,514,579,Laam
387,506,508,514,579,Laam
386,519,508,514,579,Laam
386,519,508,513,579,Laam
384,524,508,514,579,Laam
